"REF_DATE","GEO","DGUID","Sex","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1987","Royal Canadian Mounted Police (RCMP) Headquarters and Training Academy","","Males","Total number of police officers","Number","223","units ","0","v19457993","16.2.1","1643","","","","0"
"1987","Royal Canadian Mounted Police (RCMP) Headquarters and Training Academy","","Males","Percentage of total police officers","Percentage","242","units ","0","v19457994","16.2.2","84.9","","","","1"
"1987","Royal Canadian Mounted Police (RCMP) Headquarters and Training Academy","","Females","Total number of police officers","Number","223","units ","0","v19457995","16.3.1","293","","","","0"
"1987","Royal Canadian Mounted Police (RCMP) Headquarters and Training Academy","","Females","Percentage of total police officers","Percentage","242","units ","0","v19457996","16.3.2","15.1","","","","1"
"1988","Canada","","Both sexes","Total number of police officers","Number","223","units ","0","v19457901","1.1.1","53312","","","","0"
"1988","Canada","","Both sexes","Percentage of total police officers","Percentage","242","units ","0","v19457902","1.1.2","100","","","","0"
"1988","Canada","","Males","Total number of police officers","Number","223","units ","0","v19457903","1.2.1","50604","","","","0"
"1988","Canada","","Males","Percentage of total police officers","Percentage","242","units ","0","v19457904","1.2.2","94.9","","","","1"
"1988","Canada","","Females","Total number of police officers","Number","223","units ","0","v19457905","1.3.1","2708","","","","0"
"1988","Canada","","Females","Percentage of total police officers","Percentage","242","units ","0","v19457906","1.3.2","5.1","","","","1"
"1988","Newfoundland and Labrador","","Both sexes","Total number of police officers","Number","223","units ","0","v19457907","2.1.1","904","","","","0"
"1988","Newfoundland and Labrador","","Both sexes","Percentage of total police officers","Percentage","242","units ","0","v19457908","2.1.2","100","","","","0"
"1988","Newfoundland and Labrador","","Males","Total number of police officers","Number","223","units ","0","v19457909","2.2.1","840","","","","0"
"1988","Newfoundland and Labrador","","Males","Percentage of total police officers","Percentage","242","units ","0","v19457910","2.2.2","92.9","","","","1"
"1988","Newfoundland and Labrador","","Females","Total number of police officers","Number","223","units ","0","v19457911","2.3.1","64","","","","0"
"1988","Newfoundland and Labrador","","Females","Percentage of total police officers","Percentage","242","units ","0","v19457912","2.3.2","7.1","","","","1"
"1988","Prince Edward Island","","Both sexes","Total number of police officers","Number","223","units ","0","v19457913","3.1.1","181","","","","0"
"1988","Prince Edward Island","","Both sexes","Percentage of total police officers","Percentage","242","units ","0","v19457914","3.1.2","100","","","","0"
"1988","Prince Edward Island","","Males","Total number of police officers","Number","223","units ","0","v19457915","3.2.1","172","","","","0"
"1988","Prince Edward Island","","Males","Percentage of total police officers","Percentage","242","units ","0","v19457916","3.2.2","95.0","","","","1"
"1988","Prince Edward Island","","Females","Total number of police officers","Number","223","units ","0","v19457917","3.3.1","9","","","","0"
"1988","Prince Edward Island","","Females","Percentage of total police officers","Percentage","242","units ","0","v19457918","3.3.2","5.0","","","","1"
"1988","Nova Scotia","","Both sexes","Total number of police officers","Number","223","units ","0","v19457919","4.1.1","1445","","","","0"
"1988","Nova Scotia","","Both sexes","Percentage of total police officers","Percentage","242","units ","0","v19457920","4.1.2","100","","","","0"
"1988","Nova Scotia","","Males","Total number of police officers","Number","223","units ","0","v19457921","4.2.1","1398","","","","0"
"1988","Nova Scotia","","Males","Percentage of total police officers","Percentage","242","units ","0","v19457922","4.2.2","96.7","","","","1"
"1988","Nova Scotia","","Females","Total number of police officers","Number","223","units ","0","v19457923","4.3.1","47","","","","0"
"1988","Nova Scotia","","Females","Percentage of total police officers","Percentage","242","units ","0","v19457924","4.3.2","3.3","","","","1"
"1988","New Brunswick","","Both sexes","Total number of police officers","Number","223","units ","0","v19457925","5.1.1","1230","","","","0"
"1988","New Brunswick","","Both sexes","Percentage of total police officers","Percentage","242","units ","0","v19457926","5.1.2","100","","","","0"
"1988","New Brunswick","","Males","Total number of police officers","Number","223","units ","0","v19457927","5.2.1","1169","","","","0"
"1988","New Brunswick","","Males","Percentage of total police officers","Percentage","242","units ","0","v19457928","5.2.2","95.0","","","","1"
"1988","New Brunswick","","Females","Total number of police officers","Number","223","units ","0","v19457929","5.3.1","61","","","","0"
"1988","New Brunswick","","Females","Percentage of total police officers","Percentage","242","units ","0","v19457930","5.3.2","5.0","","","","1"
"1988","Quebec","","Both sexes","Total number of police officers","Number","223","units ","0","v19457931","6.1.1","14207","","","","0"
"1988","Quebec","","Both sexes","Percentage of total police officers","Percentage","242","units ","0","v19457932","6.1.2","100","","","","0"
"1988","Quebec","","Males","Total number of police officers","Number","223","units ","0","v19457933","6.2.1","13692","","","","0"
"1988","Quebec","","Males","Percentage of total police officers","Percentage","242","units ","0","v19457934","6.2.2","96.4","","","","1"
"1988","Quebec","","Females","Total number of police officers","Number","223","units ","0","v19457935","6.3.1","515","","","","0"
"1988","Quebec","","Females","Percentage of total police officers","Percentage","242","units ","0","v19457936","6.3.2","3.6","","","","1"
"1988","Ontario","","Both sexes","Total number of police officers","Number","223","units ","0","v19457937","7.1.1","19563","","","","0"
"1988","Ontario","","Both sexes","Percentage of total police officers","Percentage","242","units ","0","v19457938","7.1.2","100","","","","0"
"1988","Ontario","","Males","Total number of police officers","Number","223","units ","0","v19457939","7.2.1","18465","","","","0"
